,Set_1_A,MA_A,MB_A,Set_2_A,ATname_A,com_name_A,com_names_A,gene_fam_size_A,med_exp_level_A,max_exp_level_A,sim1_paralog_ks_A,ka_ks_evolve_rate_A,sim2_paralogs_max_perID_A,GO slimes_A,GO terms_A,Set_1_B,MA_B,MB_B,Set_2_B,ATname_B,com_name_B,com_names_B,gene_fam_size_B,med_exp_level_B,max_exp_level_B,sim1_paralog_ks_B,ka_ks_evolve_rate_B,sim2_paralogs_max_perID_B,GO slimes_B,GO terms_B,gene_fam_size_C,sim1_paralog_ks_C,med_exp_ratio_A/B,max_exp_ratio_A/B
88,712,AT1G52420,AT3G15940,712,AT1G52420,AT1G52420,at1g52420,4.0,566.9164594,1220.05675,0.7029,0.18950064,72.82,"['unknown biological processes', 'Golgi apparatus', 'transferase activity', 'other intracellular components']","['Golgi cis cisterna', 'biological_process_unknown', 'glycosyltransferase activity']",712,AT1G52420,AT3G15940,712,AT3G15940,AT3G15940,at3g15940,4.0,158.5509209,266.5829491,0.7029,0.18950064,75.39,"['other metabolic processes', 'Golgi apparatus', 'anatomical structure development', 'protein metabolic process', 'nucleobase-containing compound metabolic process', 'biosynthetic process', 'growth', 'lipid metabolic process', 'transferase activity']","['tissue development', 'Golgi apparatus', 'RNA metabolic process', 'lipid biosynthetic process', 'glycosyltransferase activity', 'protein metabolic process', 'macromolecule biosynthetic process', 'developmental growth']",4.0,0.7029,3.5756112684931116,4.576649609883095
89,713,AT4G15090,AT3G22170,713,AT4G15090,far1,far1,18.0,84.03787383,190.2788359,,,48.85,"['other cellular processes', 'other metabolic processes', 'response to light stimulus', 'protein binding', 'DNA-binding transcription factor activity', 'circadian rhythm', 'signal transduction', 'anatomical structure development', 'multicellular organism development', 'nucleobase-containing compound metabolic process', 'biosynthetic process', 'nucleus', 'response to abiotic stimulus', 'other binding']","['response to red or far red light', 'positive regulation of circadian rhythm', 'far-red light signaling pathway', 'negative regulation of leaf senescence', 'protein binding', 'DNA-binding transcription factor activity', 'red or far-red light signaling pathway', 'nucleus', 'nucleus', 'positive regulation of DNA-templated transcription', 'response to far red light', 'nucleus', 'nucleus', 'zinc ion binding', 'nucleus', 'nucleus', 'red or far-red light signaling pathway', 'nucleus']",713,AT4G15090,AT3G22170,713,AT3G22170,cpd45,"cpd45,fhy3",18.0,210.9494401,397.6160252,,,48.0,"['other cellular processes', 'other metabolic processes', 'response to external stimulus', 'response to light stimulus', 'protein binding', 'DNA-binding transcription factor activity', 'anatomical structure development', 'circadian rhythm', 'signal transduction', 'multicellular organism development', 'other binding', 'nucleobase-containing compound metabolic process', 'nucleus', 'biosynthetic process', 'response to abiotic stimulus']","['negative regulation of leaf senescence', 'nucleus', 'response to far red light', 'protein binding', 'zinc ion binding', 'positive regulation of DNA-templated transcription', 'protein binding', 'nucleus', 'nucleus', 'nucleus', 'circadian rhythm', 'nucleus', 'positive regulation of circadian rhythm', 'red, far-red light phototransduction', 'positive regulation of circadian rhythm', 'red or far-red light signaling pathway', 'DNA-binding transcription activator activity, RNA polymerase II-specific', 'DNA-binding transcription factor activity']",18.0,,0.39837922200770987,0.4785492129103452
90,714,AT4G14690,AT3G22840,714,AT4G14690,elip2,elip2,2.0,249.4198517,14095.12645,0.9428,0.135659737,71.5,"['other cellular processes', 'other metabolic processes', 'response to light stimulus', 'other membranes', 'other intracellular components', 'multicellular organism development', 'biosynthetic process', 'plastid', 'response to stress', 'response to abiotic stimulus', 'thylakoid', 'chloroplast', 'post-embryonic development']","['cellular response to UV-A', 'response to far red light', 'regulation of chlorophyll biosynthetic process', 'photoprotection', 'chloroplast', 'cellular response to far red light', 'positive regulation of seed germination', 'cellular response to high light intensity', 'response to UV-B', 'chloroplast thylakoid membrane', 'cellular response to high light intensity', 'cellular response to red light', 'chloroplast thylakoid membrane', 'cellular response to blue light', 'response to red light', 'cellular response to heat']",714,AT4G14690,AT3G22840,714,AT3G22840,elip,"elip,elip1",2.0,400.9338248,12119.25765,0.9428,0.135659737,75.5,"['other cellular processes', 'other metabolic processes', 'response to light stimulus', 'other intracellular components', 'other membranes', 'response to stress', 'plastid', 'multicellular organism development', 'biosynthetic process', 'response to abiotic stimulus', 'thylakoid', 'chloroplast', 'post-embryonic development']","['cellular response to UV-A', 'chloroplast thylakoid membrane', 'chloroplast thylakoid membrane', 'cellular response to red light', 'response to cold', 'cellular response to blue light', 'cellular response to high light intensity', 'positive regulation of seed germination', 'cellular response to far red light', 'cellular response to heat', 'photoprotection', 'cellular response to high light intensity', 'regulation of chlorophyll biosynthetic process', 'chloroplast']",2.0,0.9428,0.6220973045225592,1.1630354644700536
91,715,AT2G22660,AT4G37900,715,AT2G22660,AT2G22660,at2g22660,4.0,732.5440249,4859.377106,0.9864,0.243613139,72.5,"['plasma membrane', 'response to stress', 'cytoplasm', 'nucleus', 'response to abiotic stimulus']","['nucleus', 'cytoplasm', 'response to osmotic stress', 'response to osmotic stress', 'cytoplasm', 'plasma membrane', 'plasma membrane']",715,AT2G22660,AT4G37900,715,AT4G37900,AT4G37900,at4g37900,4.0,26.00209563,2628.241699,0.9864,0.243613139,86.67,"['other cellular processes', 'response to chemical', 'reproduction', 'cell communication', 'response to endogenous stimulus', 'response to light stimulus', 'anatomical structure development', 'signal transduction', 'response to stress', 'multicellular organism development', 'cytoplasm', 'response to abiotic stimulus', 'post-embryonic development']","['cellular response to osmotic stress', 'regulation of auxin mediated signaling pathway', 'regulation of photoperiodism, flowering', 'cytoplasm', 'cytoplasm']",4.0,0.9864,28.172499452498936,1.848908001059761
92,716,AT2G42670,AT3G58670,716,AT2G42670,AT2G42670,at2g42670,5.0,83.44789494,147.091213,1.0838,0.127883373,76.45,"['other cellular processes', 'response to chemical', 'response to stress', 'catalytic activity', 'other binding', 'nucleus', 'response to abiotic stimulus', 'chloroplast']","['cellular response to hypoxia', 'iron ion binding', 'iron ion binding', 'nucleus', 'nucleus', 'chloroplast', 'detection of hypoxia', 'cysteine dioxygenase activity']",716,AT2G42670,AT3G58670,716,AT3G58670,AT3G58670,at3g58670,5.0,124.3961058,321.5754629,1.0838,0.127883373,76.45,"['other cellular processes', 'response to chemical', 'response to stress', 'catalytic activity', 'other binding', 'nucleus', 'response to abiotic stimulus']","['nucleus', 'cellular response to hypoxia', 'nucleus', 'nucleus', 'cysteine dioxygenase activity', 'detection of hypoxia', 'nucleus', 'iron ion binding']",5.0,1.0838,0.6708240133671451,0.457408073593416
93,717,AT3G13980,AT1G54200,717,AT3G13980,AT3G13980,at3g13980,3.0,82.03387808,997.4553757,1.8111,0.162774005,62.13,"['response to chemical', 'other metabolic processes', 'other cellular processes', 'transport', 'cell communication', 'response to endogenous stimulus', 'plasma membrane', 'signal transduction', 'biosynthetic process', 'nucleus', 'unknown molecular functions', 'lipid metabolic process']","['molecular_function_unknown', 'lipid biosynthetic process', 'positive regulation of auxin mediated signaling pathway', 'plasma membrane', 'monocarboxylic acid biosynthetic process', 'nucleus', 'auxin transport', 'cellular lipid metabolic process']",717,AT3G13980,AT1G54200,717,AT1G54200,AT1G54200,at1g54200,3.0,44.6782191,458.7956486,1.8111,0.162774005,58.95,"['response to chemical', 'other cellular processes', 'reproduction', 'cell communication', 'response to endogenous stimulus', 'plasma membrane', 'protein binding', 'anatomical structure development', 'signal transduction', 'multicellular organism development', 'nucleus', 'transport', 'post-embryonic development']","['nucleus', 'pattern specification process', 'plasma membrane', 'phloem development', 'plant organ morphogenesis', 'auxin transport', 'seed development', 'tissue development', 'protein binding', 'hormone transport', 'response to auxin', 'positive regulation of auxin mediated signaling pathway', 'shoot system morphogenesis', 'meristem maintenance']",3.0,1.8111,1.8361044762413101,2.1740733129089227
94,718,AT1G80000,AT1G15280,718,AT1G80000,AT1G80000,at1g80000,2.0,132.7617059,247.8154303,0.7549,0.382169824,51.71,"['other cellular processes', 'other metabolic processes', 'catabolic process', 'response to light stimulus', 'signal transduction', 'nucleobase-containing compound metabolic process', 'biosynthetic process', 'nucleus', 'RNA binding', 'growth']","['mRNA binding', 'nuclear-transcribed mRNA catabolic process', 'exon-exon junction complex', 'nucleus', 'signal transduction', 'nucleus', 'regulation of mRNA metabolic process', 'nucleus', 'growth', 'mRNA binding', 'DNA-templated transcription', 'response to light stimulus', 'mRNA binding', 'nucleus', 'organonitrogen compound biosynthetic process']",718,AT1G80000,AT1G15280,718,AT1G15280,AT1G15280,at1g15280,2.0,126.5454736,214.7249432,0.7549,0.382169824,57.95,"['other cellular processes', 'other metabolic processes', 'protein metabolic process', 'biosynthetic process', 'nucleobase-containing compound metabolic process', 'nucleus', 'RNA binding']","['nucleus', 'negative regulation of macromolecule biosynthetic process', 'negative regulation of gene expression', 'protein metabolic process', 'negative regulation of nitrogen compound metabolic process', 'positive regulation of macromolecule metabolic process', 'macromolecule metabolic process', 'exon-exon junction complex', 'mRNA binding', 'mRNA processing', 'negative regulation of cellular biosynthetic process', 'mRNA binding', 'regulation of RNA metabolic process', 'nucleus', 'mRNA binding', 'cellular nitrogen compound biosynthetic process']",2.0,0.7549,1.0491225179625865,1.154106395870268
95,719,AT1G54130,AT3G14050,719,AT1G54130,atrsh3,"atrsh3,at-rsh3,rsh3",4.0,739.4106516,6812.030221,0.8655,0.098671288,80.06,"['other cellular processes', 'other metabolic processes', 'plasma membrane', 'anatomical structure development', 'multicellular organism development', 'nucleobase-containing compound metabolic process', 'biosynthetic process', 'photosynthesis', 'chloroplast', 'transferase activity']","['guanosine tetraphosphate biosynthetic process', 'photosynthesis', 'GTP diphosphokinase activity', 'chloroplast', 'GTP diphosphokinase activity', 'plasma membrane', 'guanosine tetraphosphate biosynthetic process', 'leaf senescence', 'chloroplast', 'GTP diphosphokinase activity']",719,AT1G54130,AT3G14050,719,AT3G14050,atrsh2,"atrsh2,at-rsh2,rsh2",4.0,374.440604,2991.506433,0.8655,0.098671288,79.64,"['response to chemical', 'other metabolic processes', 'other cellular processes', 'response to endogenous stimulus', 'plasma membrane', 'response to stress', 'nucleobase-containing compound metabolic process', 'chloroplast', 'transferase activity']","['response to wounding', 'GTP diphosphokinase activity', 'chloroplast', 'plasma membrane', 'response to abscisic acid', 'chloroplast', 'guanosine tetraphosphate metabolic process', 'GTP diphosphokinase activity']",4.0,0.8655,1.9747074534683744,2.277123707926855
96,720,AT3G02490,AT5G15980,720,AT3G02490,AT3G02490,at3g02490,3.0,138.9914781,337.2112334,0.5804,0.283769814,69.55,"['nucleobase-containing compound metabolic process', 'unknown molecular functions', 'mitochondrion', 'other metabolic processes']","['RNA splicing', 'mitochondrion', 'RNA metabolic process', 'molecular_function_unknown']",720,AT3G02490,AT5G15980,720,AT5G15980,AT5G15980,at5g15980,3.0,159.7887659,417.073489,0.5804,0.283769814,70.0,"['other cellular processes', 'other metabolic processes', 'reproduction', 'anatomical structure development', 'multicellular organism development', 'nucleobase-containing compound metabolic process', 'biosynthetic process', 'RNA binding', 'mitochondrion', 'post-embryonic development']","['mitochondrion', 'small molecule metabolic process', 'RNA metabolic process', 'mRNA binding', 'nucleobase-containing compound biosynthetic process', 'seed development', 'cell division', 'RNA splicing']",3.0,0.5804,0.8698451190679107,0.8085175449739507
97,721,AT1G21880,AT1G77630,721,AT1G21880,lym1,"lym1,lyp2",3.0,354.7506145,1322.485895,0.783,0.204725415,73.25,"['other biological processes', 'plasma membrane', 'other membranes', 'other binding', 'nucleus', 'extracellular region']","['plasma membrane', 'membrane', 'extracellular region', 'plasma membrane', 'plasma membrane', 'immune response', 'extracellular region', 'peptidoglycan binding', 'plasma membrane', 'membrane', 'nucleus']",721,AT1G21880,AT1G77630,721,AT1G77630,lym3,"lym3,lyp3",3.0,58.96780229,325.7107159,0.783,0.204725415,72.58,"['other binding', 'plasma membrane', 'other biological processes', 'other membranes']","['membrane', 'plasma membrane', 'plasma membrane', 'peptidoglycan binding', 'plasma membrane', 'immune response', 'membrane']",3.0,0.783,6.016005357556967,4.060308213519234
98,722,AT1G02370,AT4G01990,722,AT1G02370,AT1G02370,at1g02370,19.0,61.27706717,250.4678437,0.9573,0.244019639,60.41,"['other metabolic processes', 'reproduction', 'anatomical structure development', 'cell differentiation', 'multicellular organism development', 'nucleobase-containing compound metabolic process', 'mitochondrion', 'chloroplast', 'unknown molecular functions', 'post-embryonic development']","['mitochondrion', 'molecular_function_unknown', 'cell differentiation', 'seed development', 'chloroplast', 'RNA metabolic process']",722,AT1G02370,AT4G01990,722,AT4G01990,AT4G01990,at4g01990,19.0,28.66073527,94.75903359,0.9573,0.244019639,61.35,"['unknown biological processes', 'RNA binding', 'mitochondrion', 'chloroplast']","['mitochondrion', 'chloroplast', 'mRNA binding', 'biological_process_unknown']",19.0,0.9573,2.138014485418329,2.6432080848746864
99,723,AT5G45110,AT4G19660,723,AT5G45110,atnpr3,"atnpr3,npr3",6.0,414.8590044,1285.805436,1.4415,0.115227194,73.19,"['other cellular processes', 'response to chemical', 'response to external stimulus', 'response to biotic stimulus', 'response to endogenous stimulus', 'cell communication', 'protein binding', 'response to stress', 'signal transduction', 'other binding', 'nucleus', 'chloroplast']","['defense response to bacterium', 'nucleus', 'defense response to bacterium', 'identical protein binding', 'chloroplast', 'systemic acquired resistance', 'chloroplast', 'salicylic acid binding', 'defense response to fungus', 'protein binding', 'protein binding', 'identical protein binding', 'regulation of jasmonic acid mediated signaling pathway', 'protein binding', 'protein binding', 'protein binding']",723,AT5G45110,AT4G19660,723,AT4G19660,atnpr4,"atnpr4,npr4",6.0,128.160202,254.4446096,1.4415,0.115227194,73.58,"['other cellular processes', 'response to chemical', 'response to external stimulus', 'response to biotic stimulus', 'cell communication', 'response to endogenous stimulus', 'protein binding', 'response to stress', 'signal transduction', 'other binding', 'nucleus', 'chloroplast']","['response to bacterium', 'defense response to bacterium', 'chloroplast', 'protein binding', 'defense response to fungus', 'protein binding', 'systemic acquired resistance', 'salicylic acid binding', 'chloroplast', 'protein binding', 'defense response to fungus', 'nucleus', 'regulation of jasmonic acid mediated signaling pathway', 'nucleus', 'defense response to bacterium', 'identical protein binding', 'regulation of jasmonic acid mediated signaling pathway', 'response to bacterium', 'regulation of salicylic acid mediated signaling pathway', 'protein binding', 'defense response to bacterium', 'response to fungus']",6.0,1.4415,3.2370345702170478,5.053380529543747
100,724,AT5G48250,AT3G07650,724,AT5G48250,bbx8,bbx8,5.0,125.9121435,292.1574629,1.2698,0.143644668,68.89,"['response to chemical', 'other metabolic processes', 'response to biotic stimulus', 'tropism', 'response to light stimulus', 'DNA-binding transcription factor activity', 'anatomical structure development', 'signal transduction', 'circadian rhythm', 'response to abiotic stimulus', 'response to external stimulus', 'reproduction', 'response to stress', 'nucleus', 'post-embryonic development', 'other cellular processes', 'protein binding', 'protein metabolic process', 'multicellular organism development', 'other binding']","['signal transduction', 'cellular response to oxygen-containing compound', 'response to inorganic substance', 'defense response to bacterium', 'phototropism', 'nucleus', 'response to cold', 'response to lipid', 'response to organic cyclic compound', 'regulation of photoperiodism, flowering', 'regulation of post-embryonic development', 'protein modification process', 'protein binding', 'zinc ion binding', 'DNA-binding transcription factor activity', 'circadian rhythm']",724,AT5G48250,AT3G07650,724,AT3G07650,bbx7,"bbx7,col9",5.0,122.2419443,320.1410818,1.2698,0.143644668,69.15,"['other cellular processes', 'other metabolic processes', 'reproduction', 'response to light stimulus', 'protein binding', 'DNA-binding transcription factor activity', 'circadian rhythm', 'anatomical structure development', 'multicellular organism development', 'other binding', 'biosynthetic process', 'nucleus', 'DNA binding', 'nucleobase-containing compound metabolic process', 'nucleic acid binding', 'post-embryonic development']","['nucleus', 'transcription cis-regulatory region binding', 'nucleus', 'nucleus', 'DNA-binding transcription factor activity', 'zinc ion binding', 'nucleus', 'circadian rhythm', 'protein binding', 'transcription cis-regulatory region binding', 'negative regulation of long-day photoperiodism, flowering', 'nucleus', 'regulation of DNA-templated transcription', 'transcription cis-regulatory region binding']",5.0,1.2698,1.0300240577897941,0.91258972843266
101,725,AT1G19700,AT1G75410,725,AT1G19700,bel10,"bel10,blh10",13.0,85.44031766,308.6795471,1.0579,0.231968995,60.18,"['other cellular processes', 'other metabolic processes', 'protein binding', 'DNA-binding transcription factor activity', 'biosynthetic process', 'nucleobase-containing compound metabolic process', 'DNA binding', 'nucleus', 'nucleic acid binding']","['RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'regulation of transcription by RNA polymerase II', 'nucleus', 'protein binding', 'nucleus', 'DNA-binding transcription factor activity, RNA polymerase II-specific', 'nucleus', 'nucleus', 'DNA-binding transcription factor activity', 'protein binding', 'nucleus', 'protein binding']",725,AT1G19700,AT1G75410,725,AT1G75410,blh3,blh3,13.0,286.2520527,1723.273209,1.0579,0.231968995,60.43,"['other cellular processes', 'other metabolic processes', 'protein binding', 'DNA-binding transcription factor activity', 'anatomical structure development', 'biosynthetic process', 'nucleobase-containing compound metabolic process', 'nucleus', 'DNA binding', 'nucleic acid binding']","['nucleus', 'nucleus', 'protein binding', 'regulation of transcription by RNA polymerase II', 'transcription cis-regulatory region binding', 'nucleus', 'nucleus', 'transcription cis-regulatory region binding', 'regulation of timing of transition from vegetative to reproductive phase', 'protein binding', 'DNA-binding transcription factor activity, RNA polymerase II-specific', 'protein binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'DNA-binding transcription factor activity']",13.0,1.0579,0.2984793186777382,0.1791239749378591
102,726,AT3G57470,AT2G41790,726,AT3G57470,AT3G57470,at3g57470,5.0,187.0863021,403.4388666,0.5254,0.211267606,80.79,"['other cellular processes', 'other metabolic processes', 'catabolic process', 'protein metabolic process', 'catalytic activity', 'other binding', 'hydrolase activity', 'cytoplasm', 'cytosol', 'mitochondrion']","['metalloendopeptidase activity', 'metal ion binding', 'proteolysis involved in protein catabolic process', 'mitochondrion', 'cytoplasm', 'peptide catabolic process', 'cytoplasm', 'cytoplasm', 'cytoplasm', 'cytosol', 'cytoplasm', 'cytoplasm']",726,AT3G57470,AT2G41790,726,AT2G41790,AT2G41790,at2g41790,5.0,401.0685734,806.2207905,0.5254,0.211267606,80.79,"['other cellular processes', 'other metabolic processes', 'catabolic process', 'protein metabolic process', 'catalytic activity', 'hydrolase activity', 'cytoplasm', 'cytosol', 'mitochondrion']","['cytosol', 'proteolysis involved in protein catabolic process', 'cytoplasm', 'peptide catabolic process', 'metalloendopeptidase activity', 'mitochondrion', 'cytosol', 'cytosol']",5.0,0.5254,0.4664696126999015,0.5004074210859736
103,728,AT5G44670,AT4G20170,728,AT5G44670,gals2,gals2,,,,,,,"['vacuole', 'other metabolic processes', 'other cellular processes', 'cytoplasm', 'transferase activity']","['vacuole', 'glycosylation', 'glycosyltransferase activity', 'cytoplasm', 'cytoplasm', 'cell wall biogenesis']",728,AT5G44670,AT4G20170,728,AT4G20170,gals3,gals3,6.0,409.324708,1821.410625,0.7132,0.199803702,96.08,"['other cellular processes', 'other metabolic processes', 'cytoplasm', 'transferase activity']","['glycosyltransferase activity', 'cytoplasm', 'glycosylation', 'cell wall biogenesis']",,,,
104,729,AT2G30040,AT1G07150,729,AT2G30040,mapkkk14,mapkkk14,293.0,146.3719396,1014.353858,0.8881,0.391960365,66.86,"['other cellular processes', 'other metabolic processes', 'protein binding', 'kinase activity', 'signal transduction', 'catalytic activity', 'biosynthetic process', 'nucleobase-containing compound metabolic process', 'nucleus', 'cellular component organization', 'transferase activity']","['protein autophosphorylation', 'positive regulation of DNA-templated transcription', 'nucleus', 'protein kinase binding', 'protein phosphorylation', 'protein kinase activity', 'signal transduction', 'protein serine/threonine kinase activity', 'chloroplast organization']",729,AT2G30040,AT1G07150,729,AT1G07150,mapkkk13,mapkkk13,293.0,13.24050353,339.7586177,0.8881,0.391960365,59.71,"['other cellular processes', 'other metabolic processes', 'response to chemical', 'kinase activity', 'plasma membrane', 'signal transduction', 'catalytic activity', 'response to stress', 'response to abiotic stimulus', 'transferase activity']","['protein kinase activity', 'protein phosphorylation', 'protein kinase activity', 'plasma membrane', 'signal transduction', 'protein phosphorylation', 'plasma membrane', 'cellular response to hypoxia']",293.0,0.8881,11.054862020039806,2.985513258991576
105,730,AT1G21920,AT1G77660,730,AT1G21920,AT1G21920,at1g21920,4.0,713.9185147,3840.365372,1.1219,0.128353686,74.61,"['reproduction', 'response to light stimulus', 'anatomical structure development', 'multicellular organism development', 'chloroplast', 'post-embryonic development']","['positive regulation of long-day photoperiodism, flowering', 'chloroplast', 'chloroplast', 'positive regulation of long-day photoperiodism, flowering']",730,AT1G21920,AT1G77660,730,AT1G77660,AT1G77660,at1g77660,4.0,57.27726242,337.671766,1.1219,0.128353686,72.79,"['other metabolic processes', 'unknown molecular functions', 'response to stress', 'chloroplast']","['positive regulation of metabolic process', 'molecular_function_unknown', 'chloroplast', 'response to oxidative stress']",4.0,1.1219,12.464256923890881,11.373072192242452
106,731,AT3G07340,AT5G48560,731,AT3G07340,AT3G07340,at3g07340,2.0,107.5922309,679.8663396,0.8194,0.33963876,81.32,"['other cellular processes', 'other metabolic processes', 'DNA-binding transcription factor activity', 'biosynthetic process', 'nucleobase-containing compound metabolic process', 'nucleus', 'DNA binding', 'nucleic acid binding']","['regulation of DNA-templated transcription', 'nucleus', 'regulation of DNA-templated transcription', 'nucleus', 'DNA-binding transcription factor activity', 'nucleus', 'DNA-binding transcription factor activity', 'DNA-binding transcription factor activity', 'transcription cis-regulatory region binding', 'regulation of DNA-templated transcription']",731,AT3G07340,AT5G48560,731,AT5G48560,AT5G48560,at5g48560,2.0,30.11443264,2267.395066,0.8194,0.33963876,84.21,"['other cellular processes', 'other metabolic processes', 'response to light stimulus', 'protein binding', 'DNA-binding transcription factor activity', 'biosynthetic process', 'nucleobase-containing compound metabolic process', 'nucleus']","['DNA-binding transcription factor activity', 'nucleus', 'regulation of DNA-templated transcription', 'nucleus', 'regulation of DNA-templated transcription', 'DNA-binding transcription factor activity', 'response to blue light', 'nucleus', 'protein binding', 'nucleus', 'DNA-binding transcription factor activity']",2.0,0.8194,3.572779609903353,0.29984467629603634
107,732,AT3G11020,AT5G05410,732,AT3G11020,dreb2,"dreb2,dreb2b",4.0,38.51471661,553.7012789,,,75.0,"['response to chemical', 'other cellular processes', 'other metabolic processes', 'DNA-binding transcription factor activity', 'response to stress', 'multicellular organism development', 'biosynthetic process', 'nucleobase-containing compound metabolic process', 'nucleus', 'response to abiotic stimulus', 'DNA binding', 'nucleic acid binding']","['heat acclimation', 'DNA-binding transcription factor activity', 'nucleus', 'response to water deprivation', 'positive regulation of DNA-templated transcription', 'transcription cis-regulatory region binding', 'nucleus', 'transcription cis-regulatory region binding', 'response to stress', 'pollen development', 'DNA-binding transcription factor activity']",732,AT3G11020,AT5G05410,732,AT5G05410,dreb2,"dreb2,dreb2a",4.0,102.8828008,5211.468534,,,76.19,"['other cellular processes', 'other metabolic processes', 'response to chemical', 'response to light stimulus', 'protein binding', 'DNA-binding transcription factor activity', 'response to stress', 'biosynthetic process', 'nucleobase-containing compound metabolic process', 'DNA binding', 'nucleus', 'response to abiotic stimulus', 'nucleic acid binding']","['DNA-binding transcription factor activity', 'protein binding', 'transcription cis-regulatory region binding', 'response to UV-B', 'nucleus', 'transcription cis-regulatory region binding', 'regulation of DNA-templated transcription', 'positive regulation of DNA-templated transcription', 'protein binding', 'nucleus', 'nucleus', 'transcription cis-regulatory region binding', 'cellular response to hypoxia', 'nucleus', 'transcription cis-regulatory region binding', 'DNA-binding transcription factor activity', 'protein binding', 'transcription cis-regulatory region binding', 'nucleus', 'response to heat', 'response to stress', 'transcription cis-regulatory region binding', 'protein binding', 'protein binding', 'response to heat', 'transcription cis-regulatory region binding', 'positive regulation of DNA-templated transcription', 'nucleus', 'nucleus', 'DNA-binding transcription factor activity', 'response to hydrogen peroxide', 'response to UV-B', 'protein binding', 'response to water deprivation', 'heat acclimation', 'protein binding', 'response to water deprivation']",4.0,,0.37435524995933045,0.10624668944801502
108,733,AT3G02990,AT5G16820,733,AT3G02990,athsfa1e,"athsfa1e,hsfa1e",20.0,25.403849,2259.630839,0.9467,0.233653745,70.65,"['other cellular processes', 'other metabolic processes', 'DNA-binding transcription factor activity', 'response to stress', 'nucleobase-containing compound metabolic process', 'biosynthetic process', 'nucleus', 'response to abiotic stimulus', 'DNA binding', 'nucleic acid binding']","['regulation of transcription by RNA polymerase II', 'nucleus', 'DNA-binding transcription factor activity', 'cellular response to heat', 'DNA-binding transcription factor activity', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'nucleus', 'nucleus']",733,AT3G02990,AT5G16820,733,AT5G16820,athsf3,"athsf3,athsfa1b,hsf3,hsfa1b",20.0,50.50360872,225.9256946,0.9467,0.233653745,69.89,"['other cellular processes', 'other metabolic processes', 'protein binding', 'DNA-binding transcription factor activity', 'response to stress', 'biosynthetic process', 'nucleobase-containing compound metabolic process', 'DNA binding', 'response to abiotic stimulus', 'nucleus', 'nucleic acid binding']","['cellular response to heat', 'DNA binding', 'response to heat', 'regulation of transcription by RNA polymerase II', 'DNA-binding transcription factor activity', 'DNA-binding transcription factor activity', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'protein binding', 'nucleus', 'nucleus', 'response to heat', 'protein binding', 'nucleus', 'nucleus', 'DNA-binding transcription factor activity', 'nucleus']",20.0,0.9467,0.5030105698157722,10.001654937924
109,734,AT1G49780,AT3G19380,734,AT1G49780,pub26,pub26,48.0,53.80400401,138.6634215,0.5964,0.217471496,78.12,"['response to external stimulus', 'response to biotic stimulus', 'protein binding', 'response to stress', 'catalytic activity', 'transferase activity']","['defense response to other organism', 'ubiquitin protein ligase activity', 'protein binding']",734,AT1G49780,AT3G19380,734,AT3G19380,pub25,pub25,48.0,17.03556937,165.7528433,0.5964,0.217471496,79.76,"['response to external stimulus', 'response to biotic stimulus', 'protein binding', 'response to stress', 'catalytic activity', 'transferase activity']","['defense response to other organism', 'protein binding', 'ubiquitin protein ligase activity', 'defense response to other organism']",48.0,0.5964,3.1583331816751596,0.8365673779063312
110,735,AT3G06830,AT5G49180,735,AT3G06830,AT3G06830,at3g06830,66.0,6.48130376,4982.879739,1.4758,0.124678141,71.93,"['other cellular processes', 'catabolic process', 'carbohydrate metabolic process', 'other metabolic processes', 'other biological processes', 'reproduction', 'enzyme regulator activity', 'other cellular components', 'hydrolase activity', 'cellular component organization']","['regulation of multicellular organismal process', 'pectin catabolic process', 'regulation of reproductive process', 'pollen tube', 'pectinesterase inhibitor activity', 'regulation of developmental process', 'pectinesterase activity', 'cell wall modification']",735,AT3G06830,AT5G49180,735,AT5G49180,AT5G49180,at5g49180,66.0,6.969277481,5916.433549,1.4758,0.124678141,71.93,"['other cellular processes', 'catabolic process', 'carbohydrate metabolic process', 'other metabolic processes', 'reproduction', 'enzyme regulator activity', 'anatomical structure development', 'multicellular organism development', 'biosynthetic process', 'hydrolase activity', 'unknown cellular components', 'cellular component organization', 'post-embryonic development']","['pectin catabolic process', 'cellular_component_unknown', 'cell wall modification', 'mucilage metabolic process involved in seed coat development', 'mucilage pectin biosynthetic process', 'pectinesterase activity', 'pectinesterase inhibitor activity']",66.0,1.4758,0.9299821649618144,0.8422100405137162
